Time,Symbol,Price,Quantity,Type,Status,Direction,Value,Tag,ID
2024-01-22T15:30:00Z,"QQQ   240209C00412000",14.26,5.0,Limit,Filled,Buy,71.3,"ITM:ITM_MOMENTUM|trace=ITM_20240122_103000_209C00412000",1
2024-01-22T15:31:00Z,"QQQ   240209C00412000",0.0,-5.0,Stop Market,Canceled,Sell,0.0,"",2
2024-01-22T15:31:00Z,"QQQ   240209C00412000",0.0,-5.0,Limit,Canceled,Sell,0.0,"",3
2024-01-24T14:31:00Z,"QQQ   240209C00412000",15.31,-5.0,Stop Market,Filled,Sell,-76.55,"",4
2024-01-24T14:31:00Z,"QQQ   240209C00412000",0.0,-5.0,Limit,Canceled,Sell,0.0,"",5
2024-01-24T15:00:00Z,"QQQ   240301C00435000",5.51,15.0,Combo Market,Filled,Buy,82.65,"VASS:BULL_CALL_DEBIT|trace=VASS_20240124_100000_301C00435000",6
2024-01-24T15:00:00Z,"QQQ   240301C00440000",3.68,-15.0,Combo Market,Filled,Sell,-55.2,"VASS:BULL_CALL_DEBIT|trace=VASS_20240124_100000_301C00435000",7
2024-01-24T15:30:00Z,"QQQ   240209C00419000",12.42,6.0,Limit,Filled,Buy,74.52,"ITM:ITM_MOMENTUM|trace=ITM_20240124_103000_209C00419000",8
2024-01-24T15:31:00Z,"QQQ   240209C00419000",0.0,-6.0,Stop Market,Canceled,Sell,0.0,"",9
2024-01-24T15:31:00Z,"QQQ   240209C00419000",0.0,-6.0,Limit,Canceled,Sell,0.0,"",10
2024-01-30T14:31:00Z,"QQQ   240209C00419000",10.74,-6.0,Limit,Filled,Sell,-64.44,"ITM:UNCLASSIFIED|trace=SIG-2024-01-30T09:25:00-2",11
2024-01-30T15:30:00Z,"QQQ   240216C00417000",13.67,5.0,Limit,Filled,Buy,68.35,"ITM:ITM_MOMENTUM|trace=ITM_20240130_103000_216C00417000",12
2024-01-30T15:31:00Z,"QQQ   240216C00417000",7.48,-5.0,Stop Market,Filled,Sell,-37.4,"",13
2024-01-30T15:31:00Z,"QQQ   240216C00417000",0.0,-5.0,Limit,Canceled,Sell,0.0,"",14
2024-01-30T20:50:00Z,"QQQ   240301C00435000",4.38,-15.0,Combo Limit,Filled,Sell,-65.7,"VASS:BULL_CALL|trace=SIG-2024-01-30T15:50:00-3|spread_key=QQQ   240301C00435000~QQQ   240301C00440000~2024-01-24 10:00:00|xcode=VASS_TAIL_RISK_CAP|xst=BULL_CALL|ed=1.83|em=0.76",15
2024-01-30T20:50:00Z,"QQQ   240301C00440000",3.24,15.0,Combo Limit,Filled,Buy,48.6,"VASS:BULL_CALL|trace=SIG-2024-01-30T15:50:00-3|spread_key=QQQ   240301C00435000~QQQ   240301C00440000~2024-01-24 10:00:00|xcode=VASS_TAIL_RISK_CAP|xst=BULL_CALL|ed=1.83|em=0.76",16
2024-02-02T15:30:00Z,"QQQ   240223C00415000",14.53,5.0,Limit,Filled,Buy,72.65,"ITM:ITM_MOMENTUM|trace=ITM_20240202_103000_223C00415000",17
2024-02-02T15:31:00Z,"QQQ   240223C00415000",0.0,-5.0,Stop Market,Canceled,Sell,0.0,"",18
2024-02-02T15:31:00Z,"QQQ   240223C00415000",0.0,-5.0,Limit,Canceled,Sell,0.0,"",19
2024-02-02T17:21:00Z,"QQQ   240223C00415000",0.0,-5.0,Stop Market,Canceled,Sell,0.0,"",20
2024-02-02T17:21:00Z,"QQQ   240223C00415000",0.0,-5.0,Limit,Canceled,Sell,0.0,"",21
2024-02-02T17:21:00Z,"QQQ   240223C00415000",17.04,-5.0,Limit,Filled,Sell,-85.2,"ITM:RISK_EXIT|trace=SIG-2024-02-02T12:21:00-5",22
2024-02-02T17:30:00Z,"QQQ   240223C00419000",14.46,5.0,Limit,Filled,Buy,72.3,"ITM:ITM_MOMENTUM|trace=ITM_20240202_123000_223C00419000",23
2024-02-02T17:31:00Z,"QQQ   240223C00419000",0.0,-5.0,Stop Market,Canceled,Sell,0.0,"",24
2024-02-02T17:31:00Z,"QQQ   240223C00419000",0.0,-5.0,Limit,Canceled,Sell,0.0,"",25
2024-02-02T20:46:00Z,"QQQ   240223C00419000",0.0,-5.0,Stop Market,Canceled,Sell,0.0,"",26
2024-02-02T20:46:00Z,"QQQ   240223C00419000",0.0,-5.0,Limit,Canceled,Sell,0.0,"",27
2024-02-07T15:14:00Z,"QQQ   240223C00419000",14.83,-5.0,Limit,Filled,Sell,-74.15,"ITM:RISK_EXIT|trace=SIG-2024-02-07T10:14:00-7",28
2024-02-07T15:15:00Z,"QQQ   240315C00436000",7.57,15.0,Combo Market,Filled,Buy,113.55,"VASS:BULL_CALL_DEBIT|trace=VASS_20240207_101500_315C00436000",29
2024-02-07T15:15:00Z,"QQQ   240315C00444780",4.07,-15.0,Combo Market,Filled,Sell,-61.05,"VASS:BULL_CALL_DEBIT|trace=VASS_20240207_101500_315C00436000",30
2024-02-07T15:30:00Z,"QQQ   240223C00423000",12.9,6.0,Limit,Filled,Buy,77.4,"ITM:ITM_MOMENTUM|trace=ITM_20240207_103000_223C00423000",31
2024-02-07T15:31:00Z,"QQQ   240223C00423000",7.1,-6.0,Stop Market,Filled,Sell,-42.6,"",32
2024-02-07T15:31:00Z,"QQQ   240223C00423000",0.0,-6.0,Limit,Canceled,Sell,0.0,"",33
2024-02-07T20:45:00Z,"QQQ   240322C00438000",7.83,15.0,Combo Market,Filled,Buy,117.45,"VASS:BULL_CALL_DEBIT|trace=VASS_20240207_154500_322C00438000",34
2024-02-07T20:45:00Z,"QQQ   240322C00445000",4.98,-15.0,Combo Market,Filled,Sell,-74.7,"VASS:BULL_CALL_DEBIT|trace=VASS_20240207_154500_322C00438000",35
2024-02-13T14:31:00Z,"QQQ   240315C00436000",5.08,-15.0,Combo Limit,Filled,Sell,-76.2,"VASS:BULL_CALL|trace=SIG-2024-02-13T09:31:00-9|spread_key=QQQ   240315C00436000~QQQ   240315C00444780~2024-02-07 10:15:00|xcode=VASS_TAIL_RISK_CAP|xst=BULL_CALL|ed=3.50|em=2.63",36
2024-02-13T14:31:00Z,"QQQ   240315C00444780",2.56,15.0,Combo Limit,Filled,Buy,38.4,"VASS:BULL_CALL|trace=SIG-2024-02-13T09:31:00-9|spread_key=QQQ   240315C00436000~QQQ   240315C00444780~2024-02-07 10:15:00|xcode=VASS_TAIL_RISK_CAP|xst=BULL_CALL|ed=3.50|em=2.63",37
