Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Duration,Order IDs
2024-01-22T15:31:00Z,"QQQ   240209C00412000",2024-01-24T14:45:00Z,Buy,14.26,15.31,5,525,6.5,-790,1612.5,1087.5,1,"1.23:14:00","1;4"
2024-01-24T15:31:00Z,"QQQ   240209C00419000",2024-01-30T14:32:00Z,Buy,12.42,10.74,6,-1008,7.8,-2334,882,3216,0,"5.23:01:00","8;11"
2024-01-24T15:00:00Z,"QQQ   240301C00435000",2024-01-30T20:51:00Z,Buy,5.51,4.38,15,-1695,19.5,-2062.5,2182.5,4245,0,"6.05:51:00","6;15"
2024-01-24T15:00:00Z,"QQQ   240301C00440000",2024-01-30T20:51:00Z,Sell,3.68,3.24,15,660,19.5,-1762.5,1425,2032.5,1,"6.05:51:00","7;16"
2024-01-30T15:31:00Z,"QQQ   240216C00417000",2024-01-31T15:37:00Z,Buy,13.67,7.48,5,-3095,6.5,-3095,60,3155,0,"1.00:06:00","12;13"
2024-02-02T15:31:00Z,"QQQ   240223C00415000",2024-02-02T17:22:00Z,Buy,14.53,17.04,5,1255,6.5,-282.5,1302.5,505,1,"01:51:00","17;22"
2024-02-02T17:31:00Z,"QQQ   240223C00419000",2024-02-07T15:15:00Z,Buy,14.46,14.83,5,185,6.5,-1925,252.5,2135,1,"4.21:44:00","23;28"
2024-02-07T15:31:00Z,"QQQ   240223C00423000",2024-02-13T14:31:00Z,Buy,12.9,7.1,6,-3480,7.8,-3480,2862,6342,0,"5.23:00:00","31;32"
2024-02-07T15:15:00Z,"QQQ   240315C00436000",2024-02-13T14:32:00Z,Buy,7.57,5.08,15,-3735,19.5,-3735,5730,9465,0,"5.23:17:00","29;36"
2024-02-07T15:15:00Z,"QQQ   240315C00444780",2024-02-13T14:32:00Z,Sell,4.07,2.56,15,2265,19.5,-3810,2265,3922.5,1,"5.23:17:00","30;37"
2024-02-07T20:45:00Z,"QQQ   240322C00438000",2024-02-13T14:32:00Z,Buy,7.83,5.17,15,-3990,19.5,-3990,4867.5,8857.5,0,"5.17:47:00","34;38"
2024-02-07T20:45:00Z,"QQQ   240322C00445000",2024-02-13T14:32:00Z,Sell,4.98,3.2,15,2670,19.5,-3630,2670,3967.5,1,"5.17:47:00","35;39"
2024-02-13T15:31:00Z,"QQQ   240301C00420000",2024-02-14T14:51:00Z,Buy,13.81,14.33,5,260,6.5,-1542.5,550,2002.5,1,"23:20:00","40;45"
2024-02-26T15:31:00Z,"QQQ   240315C00428000",2024-03-01T18:30:00Z,Buy,13.62,19.07,5,2725,6.5,-1477.5,2785,1757.5,1,"4.02:59:00","48;50"
2024-02-27T17:00:00Z,"QQQ   240322C00441000",2024-03-01T20:51:00Z,Buy,5.94,8,15,3090,19.5,-2010,7147.5,4057.5,1,"3.03:51:00","55;57"
2024-02-27T17:00:00Z,"QQQ   240322C00446000",2024-03-01T20:51:00Z,Sell,3.92,7.06,15,-4710,19.5,-5550,1515,7065,0,"3.03:51:00","56;58"
2024-02-23T15:15:00Z,"QQQ   240328C00444780",2024-03-05T15:02:00Z,Buy,7.03,5.26,15,-2655,19.5,-4447.5,3532.5,6367.5,0,"10.23:47:00","46;62"
2024-02-23T15:15:00Z,"QQQ   240328C00449780",2024-03-05T15:02:00Z,Sell,5,3.54,15,2190,19.5,-2535,3532.5,6067.5,1,"10.23:47:00","47;63"
2024-03-04T15:31:00Z,"QQQ   240322C00433000",2024-03-05T18:45:00Z,Buy,15.09,8.24,4,-2740,5.2,-2740,342,3082,0,"1.03:14:00","59;60"
2024-03-08T18:01:00Z,"QQQ   240311P00439000",2024-03-08T18:03:00Z,Buy,2.03,1.96,11,-77,14.3,-121,0,121,0,"00:02:00","64;69"
2024-03-08T18:31:00Z,"QQQ   240311P00439000",2024-03-08T18:33:00Z,Buy,2.03,2.07,11,44,14.3,0,159.5,115.5,1,"00:02:00","70;75"
2024-03-08T19:11:00Z,"QQQ   240311P00440000",2024-03-08T19:13:00Z,Buy,1.93,1.99,12,72,15.6,0,276,204,1,"00:02:00","76;81"
2024-03-13T14:00:00Z,"QQQ   240325P00439000",2024-03-18T17:42:00Z,Sell,4.72,5.04,3,-96,3.9,-1282.5,267,1507.5,0,"5.03:42:00","83;98"
2024-03-13T14:00:00Z,"QQQ   240325P00435000",2024-03-18T17:42:00Z,Buy,3.3,3.32,3,6,3.9,-240,972,1212,1,"5.03:42:00","82;99"
2024-03-13T17:00:00Z,"QQQ   240328P00439000",2024-03-18T17:42:00Z,Sell,5.2,5.79,3,-177,3.9,-1308,195,1491,0,"5.00:42:00","85;100"
2024-03-13T17:00:00Z,"QQQ   240328P00435000",2024-03-18T17:42:00Z,Buy,3.76,4.08,3,96,3.9,-168,1050,1218,1,"5.00:42:00","84;101"
2024-03-21T14:00:00Z,"QQQ   240426C00455000",2024-03-25T14:15:00Z,Buy,6.89,4.93,15,-2940,19.5,-3930,1005,4935,0,"4.00:15:00","102;105"
2024-03-25T14:15:00Z,"QQQ   240426C00451000",2024-04-02T13:35:00Z,Buy,6.62,3.5,15,-4680,19.5,-4680,1350,6030,0,"7.23:20:00","104;106"
2024-03-21T14:00:00Z,"QQQ   240426C00458000",2024-04-02T17:30:00Z,Sell,5.58,1.71,15,5805,19.5,-997.5,6030,1770,1,"12.03:30:00","103;108"
2024-04-03T15:46:00Z,"QQQ   240405C00441000",2024-04-03T19:15:00Z,Buy,4.46,2.96,4,-600,7.8,-632,0,632,0,"03:29:00","109;113"
2024-04-03T18:11:00Z,"QQQ   240405C00441000",2024-04-03T19:15:00Z,Buy,4.12,2.96,4,-464,2.6,-496,136,496,0,"01:04:00","112;113"
2024-04-04T18:56:00Z,"QQQ   240405P00439000",2024-04-04T19:16:00Z,Buy,2.25,3.11,10,860,13,0,1140,545,1,"00:20:00","115;118"
2024-04-09T14:46:00Z,"QQQ   240410P00437000",2024-04-09T15:17:00Z,Buy,2.5,1.73,9,-693,11.7,-693,216,909,0,"00:31:00","119;120"
2024-04-15T16:46:00Z,"QQQ   240416P00436000",2024-04-15T17:27:00Z,Buy,2.27,3.63,9,1224,11.7,-468,1404,486,1,"00:41:00","122;124"
2024-04-15T18:11:00Z,"QQQ   240417P00431000",2024-04-15T19:17:00Z,Buy,2.95,3.29,7,238,9.1,-266,308,497,1,"01:06:00","125;128"
2024-04-17T15:31:00Z,"QQQ   240418P00428000",2024-04-17T16:37:00Z,Buy,2.1,3.36,10,1260,13,0,1260,470,1,"01:06:00","135;137"
2024-04-17T17:01:00Z,"QQQ   240419P00424780",2024-04-17T17:31:00Z,Buy,2.67,1.83,8,-672,10.4,-672,0,672,0,"00:30:00","138;139"
2024-04-17T18:56:00Z,"QQQ   240419P00426000",2024-04-17T19:16:00Z,Buy,2.31,2.8,9,441,11.7,-54,450,166.5,1,"00:20:00","143;146"
2024-04-16T16:30:00Z,"QQQ   240503C00435000",2024-04-18T17:42:00Z,Sell,6.85,2.93,4,1568,5.2,-304,1584,574,1,"2.01:12:00","130;149"
2024-04-16T16:30:00Z,"QQQ   240503C00439000",2024-04-18T17:42:00Z,Buy,5.02,1.87,4,-1260,5.2,-1260,216,1476,0,"2.01:12:00","129;150"
2024-04-19T16:01:00Z,"QQQ   240422P00417000",2024-04-19T18:41:00Z,Buy,2.49,3.98,9,1341,11.7,-513,1449,1575,1,"02:40:00","157;159"
2024-04-18T17:45:00Z,"QQQ   240510C00428000",2024-04-22T13:31:00Z,Sell,7.15,3.94,4,1284,5.2,-116,1598,314,1,"3.19:46:00","152;162"
2024-04-18T17:45:00Z,"QQQ   240510C00432000",2024-04-22T13:31:00Z,Buy,5.37,2.68,4,-1076,5.2,-1286,78,1364,0,"3.19:46:00","151;163"
2024-04-22T14:00:00Z,"QQQ   240510C00421000",2024-04-23T17:42:00Z,Sell,6.74,10.34,4,-1440,5.2,-1494,526,2020,0,"1.03:42:00","165;172"
2024-04-22T14:00:00Z,"QQQ   240510C00425000",2024-04-23T17:42:00Z,Buy,4.98,7.85,4,1148,5.2,-436,1228,516,1,"1.03:42:00","164;173"
2024-04-02T13:35:00Z,"QQQ   240426C00455000",2024-04-26T16:00:00Z,Buy,2.44,0.01,15,-3645,13.5,-3645,2295,5940,0,"24.02:25:00","107;176"
2024-04-25T14:30:00Z,"QQQ   240517P00419000",2024-05-02T17:42:00Z,Sell,6.86,3.77,3,927,3.9,-300,1359,1087.5,1,"7.03:12:00","175;191"
2024-04-25T14:30:00Z,"QQQ   240517P00415000",2024-05-02T17:42:00Z,Buy,5.44,2.65,3,-837,3.9,-1117.5,243,1360.5,0,"7.03:12:00","174;192"
2024-04-30T14:45:00Z,"QQQ   240517P00430000",2024-05-02T17:42:00Z,Sell,5.74,8.65,3,-873,3.9,-1848,37.5,1885.5,0,"2.02:57:00","178;193"
2024-04-30T14:45:00Z,"QQQ   240517P00426000",2024-05-02T17:42:00Z,Buy,4.34,6.49,3,645,3.9,-33,1524,1461,1,"2.02:57:00","177;194"
2024-05-07T15:15:00Z,"QQQ   240621C00450000",2024-05-10T14:02:00Z,Buy,7.56,7.2,15,-540,19.5,-2895,450,3022.5,0,"2.22:47:00","195;201"
2024-05-07T15:15:00Z,"QQQ   240621C00453000",2024-05-10T14:02:00Z,Sell,6.27,5.94,15,495,19.5,-345,2527.5,2872.5,1,"2.22:47:00","196;202"
